episode,step,t,remaining_inventory,action,exec_price,mid_price,reward,is_twap,executed_qty,forced_qty,step_is
0,0,1,0.0,-1,1005.4550381469727,1007.9749755859375,-2519.937438964803,0,1000.0,0.0,2519.937438964803
1,0,1,0.0,-1,1004.776745452881,1007.2949829101562,-2518.2374572752906,0,1000.0,0.0,2518.2374572752906
2,0,1,0.0,-1,1003.8640548706055,1006.3800048828125,-2515.950012206986,0,1000.0,0.0,2515.950012206986
3,0,1,0.0,-1,1005.2555868530274,1007.7750244140625,-2519.437561035147,0,1000.0,0.0,2519.437561035147
4,0,1,0.0,-1,1005.5747332763673,1008.094970703125,-2520.237426757717,0,1000.0,0.0,2520.237426757717
5,0,1,0.0,-1,1004.3079496765138,1006.8250122070312,-2517.062530517478,0,1000.0,0.0,2517.062530517478
6,0,1,0.0,-1,1005.5099542236329,1008.030029296875,-2520.075073242083,0,1000.0,0.0,2520.075073242083
7,0,1,0.0,-1,1005.8241082763673,1008.344970703125,-2520.8624267577306,0,1000.0,0.0,2520.8624267577306
8,0,1,0.0,-1,1005.6645350646974,1008.1849975585938,-2520.462493896389,0,1000.0,0.0,2520.462493896389
9,0,1,0.0,-1,1003.9637805175781,1006.47998046875,-2516.1999511718705,0,1000.0,0.0,2516.1999511718705
10,0,1,0.0,-1,1005.0062118530274,1007.5250244140625,-2518.8125610351335,0,1000.0,0.0,2518.8125610351335
11,0,1,0.0,-1,1005.7094055175781,1008.22998046875,-2520.5749511718523,0,1000.0,0.0,2520.5749511718523
12,0,1,0.0,-1,1004.2979649353028,1006.8150024414062,-2517.0375061034065,0,1000.0,0.0,2517.0375061034065
13,0,1,0.0,-1,1005.76426071167,1008.2849731445312,-2520.7124328612736,0,1000.0,0.0,2520.7124328612736
14,0,1,0.0,-1,1004.5473399353028,1007.0650024414062,-2517.66250610342,0,1000.0,0.0,2517.66250610342
15,0,1,0.0,-1,1005.2854801940919,1007.8049926757812,-2519.5124816893895,0,1000.0,0.0,2519.5124816893895
16,0,1,0.0,-1,1005.01613571167,1007.5349731445312,-2518.8374328612326,0,1000.0,0.0,2518.8374328612326
17,0,1,0.0,-1,1003.9388795471192,1006.4550170898438,-2516.1375427245503,0,1000.0,0.0,2516.1375427245503
18,0,1,0.0,-1,1003.6994892883301,1006.2150268554688,-2515.537567138608,0,1000.0,0.0,2515.537567138608
19,0,1,0.0,-1,1005.6845045471192,1008.2050170898438,-2520.512542724532,0,1000.0,0.0,2520.512542724532
20,0,1,0.0,-1,1004.7368673706055,1007.2550048828125,-2518.1375122069767,0,1000.0,0.0,2518.1375122069767
21,0,1,0.0,-1,1004.2979649353028,1006.8150024414062,-2517.0375061034065,0,1000.0,0.0,2517.0375061034065
22,0,1,0.0,-1,1005.6645350646974,1008.1849975585938,-2520.462493896389,0,1000.0,0.0,2520.462493896389
23,0,1,0.0,-1,1005.5747332763673,1008.094970703125,-2520.237426757717,0,1000.0,0.0,2520.237426757717
24,0,1,0.0,-1,1004.0585746765137,1006.5750122070312,-2516.437530517578,0,1000.0,0.0,2516.437530517578
25,0,1,0.0,-1,1005.76426071167,1008.2849731445312,-2520.7124328612736,0,1000.0,0.0,2520.7124328612736
26,0,1,0.0,-1,1005.76426071167,1008.2849731445312,-2520.7124328612736,0,1000.0,0.0,2520.7124328612736
27,0,1,0.0,-1,1005.5448399353028,1008.0650024414062,-2520.1625061034747,0,1000.0,0.0,2520.1625061034747
28,0,1,0.0,-1,1005.6545503234864,1008.1749877929688,-2520.4374694823173,0,1000.0,0.0,2520.4374694823173
29,0,1,0.0,-1,1003.9388795471192,1006.4550170898438,-2516.1375427245503,0,1000.0,0.0,2516.1375427245503
30,0,1,0.0,-1,1005.8740319824219,1008.39501953125,-2520.9875488280886,0,1000.0,0.0,2520.9875488280886
31,0,1,0.0,-1,1005.51488571167,1008.0349731445312,-2520.08743286126,0,1000.0,0.0,2520.08743286126
32,0,1,0.0,-1,1005.365297241211,1007.885009765625,-2519.7125244139897,0,1000.0,0.0,2519.7125244139897
33,0,1,0.0,-1,1004.118422241211,1006.635009765625,-2516.587524414035,0,1000.0,0.0,2516.587524414035
34,0,1,0.0,-1,1004.3079496765138,1006.8250122070312,-2517.062530517478,0,1000.0,0.0,2517.062530517478
35,0,1,0.0,-1,1005.7044131469727,1008.2249755859375,-2520.5624389648165,0,1000.0,0.0,2520.5624389648165
36,0,1,0.0,-1,1003.6994892883301,1006.2150268554688,-2515.537567138608,0,1000.0,0.0,2515.537567138608
37,0,1,0.0,-1,1004.2979649353028,1006.8150024414062,-2517.0375061034065,0,1000.0,0.0,2517.0375061034065
38,0,1,0.0,-1,1005.7044131469727,1008.2249755859375,-2520.5624389648165,0,1000.0,0.0,2520.5624389648165
39,0,1,0.0,-1,1003.6994892883301,1006.2150268554688,-2515.537567138608,0,1000.0,0.0,2515.537567138608
40,0,1,0.0,-1,1005.6645350646974,1008.1849975585938,-2520.462493896389,0,1000.0,0.0,2520.462493896389
41,0,1,0.0,-1,1005.5049618530275,1008.0250244140625,-2520.062561035047,0,1000.0,0.0,2520.062561035047
42,0,1,0.0,-1,1005.01613571167,1007.5349731445312,-2518.8374328612326,0,1000.0,0.0,2518.8374328612326
43,0,1,0.0,-1,1005.2356173706055,1007.7550048828125,-2519.387512207004,0,1000.0,0.0,2519.387512207004
44,0,1,0.0,-1,1003.9488642883301,1006.4650268554688,-2516.162567138622,0,1000.0,0.0,2516.162567138622
45,0,1,0.0,-1,1005.3752819824219,1007.89501953125,-2519.7375488280613,0,1000.0,0.0,2519.7375488280613
46,0,1,0.0,-1,1005.2256326293946,1007.7449951171875,-2519.3624877929324,0,1000.0,0.0,2519.3624877929324
47,0,1,0.0,-1,1004.4376295471192,1006.9550170898438,-2517.3875427245775,0,1000.0,0.0,2517.3875427245775
48,0,1,0.0,-1,1005.3553125000001,1007.875,-2519.687499999918,0,1000.0,0.0,2519.687499999918
49,0,1,0.0,-1,1004.0137042236329,1006.530029296875,-2516.3250732421147,0,1000.0,0.0,2516.3250732421147
50,0,1,0.0,-1,1005.5448399353028,1008.0650024414062,-2520.1625061034747,0,1000.0,0.0,2520.1625061034747
51,0,1,0.0,-1,1003.7094131469727,1006.2249755859375,-2515.562438964821,0,1000.0,0.0,2515.562438964821
52,0,1,0.0,-1,1005.3253582763673,1007.844970703125,-2519.6124267577034,0,1000.0,0.0,2519.6124267577034
53,0,1,0.0,-1,1005.8340930175782,1008.35498046875,-2520.8874511718022,0,1000.0,0.0,2520.8874511718022
54,0,1,0.0,-1,1003.8790319824219,1006.39501953125,-2515.987548828093,0,1000.0,0.0,2515.987548828093
55,0,1,0.0,-1,1003.6396417236328,1006.155029296875,-2515.387573242151,0,1000.0,0.0,2515.387573242151
56,0,1,0.0,-1,1003.5698094177246,1006.0850219726562,-2515.2125549316224,0,1000.0,0.0,2515.2125549316224
